username,division
gn.batakaduwawest53b,Batakaduwa West 53/B
gn.waligodaihala870a,Waligoda Ihala 870/A
gn.galhenaeast439,Galhena East 439
gn.galewelacentral911a,Galewela Central 911/A
gn.galkumburasouth792c,Galkumbura South 792/C
gn.porativuihala434,Porativu Ihala 434
gn.pallegamuwa25a,Pallegamuwa 25/A
gn.attanagallasouth639a,Attanagalla South 639/A
gn.eppawalacentral417b,Eppawala Central 417/B
gn.walipitiyawest85c,Walipitiya West 85/C
gn.thalakaduwaihala628c,Thalakaduwa Ihala 628/C
gn.musaliwest36a,Musali West 36/A
gn.mahaoyaihala,Maha Oya Ihala
gn.maharanorth248,Mahara North 248
gn.gallecentral795c,Galle Central 795/C
gn.batugalapahala,Batugala Pahala
gn.digagedara,Digagedara
gn.anuradhapura55b,Anuradhapura 55/B
gn.eravurnorth,Eravur North
gn.kudagamuwa832b,Kudagamuwa 832/B
gn.pottuvileast498,Pottuvil East 498
gn.vavuniyasouthsouth579,Vavuniya South South 579
gn.galnewapahala185c,Galnewa Pahala 185/C
gn.elaheraeast,Elahera East
gn.kalutarapahala875a,Kalutara Pahala 875/A
gn.galigamuwanorth26c,Galigamuwa North 26/C
gn.kalpitiyaeast991a,Kalpitiya East 991/A
gn.batugalanorth806b,Batugala North 806/B
gn.nawalagala571b,Nawalagala 571/B
gn.ginioyacentral975c,Ginioya Central 975/C
gn.udaoyacentral865a,Udaoya Central 865/A
gn.batakandasouth,Batakanda South
gn.sudukaduwanorth,Sudukaduwa North
gn.akuressapahala61a,Akuressa Pahala 61/A
gn.waligodasouth765,Waligoda South 765
gn.welimadaeast528c,Welimada East 528/C
gn.yatawattaihala467,Yatawatta Ihala 467
gn.horanacentral159c,Horana Central 159/C
gn.nattandiyaihala292b,Nattandiya Ihala 292/B
gn.soranathotasouth,Soranathota South
gn.gomarankadawala105c,Gomarankadawala 105/C
gn.kandaketiya948,Kandaketiya 948
gn.hinguradeniyapahala71a,Hinguradeniya Pahala 71/A
gn.nintavur68,Nintavur 68
gn.dehiwalasouth625a,Dehiwala South 625/A
gn.addalachchenaipahala574,Addalachchenai Pahala 574
gn.digaoyaihala,Digaoya Ihala
gn.ukuwelasouth376c,Ukuwela South 376/C
gn.thalagamawest496b,Thalagama West 496/B
gn.opanayakaeast455,Opanayaka East 455
gn.karandeniyawest652b,Karandeniya West 652/B
gn.kuruvita,Kuruvita
gn.ambangangacentral902,Ambanganga Central 902
gn.kudadeniyaihala712a,Kudadeniya Ihala 712/A
gn.medaoyaihala,Medaoya Ihala
gn.pelmadullaihala928a,Pelmadulla Ihala 928/A
gn.kaytspahala,Kayts Pahala
gn.kuchchaveli365,Kuchchaveli 365
gn.hangurankethaeast116c,Hanguranketha East 116/C
gn.ihalagamuwaeast408b,Ihalagamuwa East 408/B
gn.hikkaduwasouth,Hikkaduwa South
gn.galgedarawest439b,Galgedara West 439/B
gn.balangodaihala399,Balangoda Ihala 399
gn.medakandaihala,Medakanda Ihala
gn.lahugalacentral,Lahugala Central
gn.angunakolapelessa570c,Angunakolapelessa 570/C
gn.eppawalaihala129,Eppawala Ihala 129
gn.digadeniyacentral444c,Digadeniya Central 444/C
gn.nawalagamawest476,Nawalagama West 476
gn.kaluoyasouth195,Kaluoya South 195
gn.palindanuwaranorth712a,Palindanuwara North 712/A
gn.sudukaduwawest,Sudukaduwa West
gn.lunugalasouth,Lunugala South
gn.matalesouth787,Matale South 787
gn.hingurapuranorth,Hingurapura North
gn.giniwelacentral,Giniwela Central
gn.ratugedarawest749,Ratugedara West 749
gn.wellawayacentral34b,Wellawaya Central 34/B
gn.akuressa333,Akuressa 333
gn.minuwangodaihala,Minuwangoda Ihala
gn.matugamacentral297b,Matugama Central 297/B
gn.lahugalacentral604c,Lahugala Central 604/C
gn.niyagamanorth,Niyagama North
gn.digagamuwaihala963c,Digagamuwa Ihala 963/C
gn.hinguragalaeast117,Hinguragala East 117
gn.ratukanda396c,Ratukanda 396/C
gn.ginioyawest13b,Ginioya West 13/B
gn.rukkaduwanorth647a,Rukkaduwa North 647/A
gn.batapitiyasouth666b,Batapitiya South 666/B
gn.sududeniyaihala257,Sududeniya Ihala 257
gn.udakaduwacentral,Udakaduwa Central
gn.digagodaeast777c,Digagoda East 777/C
gn.ratugamuwaihala209b,Ratugamuwa Ihala 209/B
gn.elpitiyapahala289c,Elpitiya Pahala 289/C
gn.batticaloapahala255c,Batticaloa Pahala 255/C
gn.thamankaduwawest,Thamankaduwa West
gn.rukdeniyapahala494a,Rukdeniya Pahala 494/A
gn.karuwalagaswewa777a,Karuwalagaswewa 777/A
gn.kuliyapitiyanorth746c,Kuliyapitiya North 746/C
gn.kurunegalawest588a,Kurunegala West 588/A
gn.paranamulla398c,Paranamulla 398/C
gn.udamullacentral166c,Udamulla Central 166/C
gn.pahaladeniyacentral45b,Pahaladeniya Central 45/B
gn.kudatota356b,Kudatota 356/B
gn.paranagamuwacentral782,Paranagamuwa Central 782
gn.kalpitiyasouth347,Kalpitiya South 347
gn.nawalagamuwacentral83,Nawalagamuwa Central 83
gn.lunugamveherasouth972b,Lunugamvehera South 972/B
gn.ratugamacentral691,Ratugama Central 691
gn.nawalawatta941c,Nawalawatta 941/C
gn.pahalapuraihala722a,Pahalapura Ihala 722/A
gn.hinguragamanorth336c,Hinguragama North 336/C
gn.yatinuwara881b,Yatinuwara 881/B
gn.vavuniyacentral,Vavuniya Central
gn.rukwattacentral958c,Rukwatta Central 958/C
gn.mahaoyasouth965c,Maha Oya South 965/C
gn.waligamuwawest56c,Waligamuwa West 56/C
gn.pallegamapahala,Pallegama Pahala
gn.karaveddyihala714c,Karaveddy Ihala 714/C
gn.nuwaraeliyapahala720c,Nuwara Eliya Pahala 720/C
gn.kudatotacentral254,Kudatota Central 254
gn.nawalamullawest540b,Nawalamulla West 540/B
gn.nallureast274,Nallur East 274
gn.nawalapuranorth236c,Nawalapura North 236/C
gn.batakumburanorth850a,Batakumbura North 850/A
gn.kudaoyasouth822b,Kudaoya South 822/B
gn.thunukkaisouth299,Thunukkai South 299
gn.malimbadanorth256b,Malimbada North 256/B
gn.digakandaihala521,Digakanda Ihala 521
gn.harispattuwacentral840,Harispattuwa Central 840
gn.paranawelawest764c,Paranawela West 764/C
gn.hinguragamuwaihala47c,Hinguragamuwa Ihala 47/C
gn.digagamuwawest845,Digagamuwa West 845
gn.nintavurpahala191c,Nintavur Pahala 191/C
gn.karandeniyawest,Karandeniya West
gn.walihenanorth685,Walihena North 685
gn.kurunegalanorth693a,Kurunegala North 693/A
gn.thalakumburaihala464,Thalakumbura Ihala 464
gn.ihalagedaraihala625c,Ihalagedara Ihala 625/C
gn.laggalaeast664c,Laggala East 664/C
gn.navagattegamapahala421c,Navagattegama Pahala 421/C
gn.kekirawaihala111b,Kekirawa Ihala 111/B
gn.medagama911c,Medagama 911/C
gn.nikaweratiyapahala450c,Nikaweratiya Pahala 450/C
gn.dodangodaihala143,Dodangoda Ihala 143
gn.kudakumburawest5a,Kudakumbura West 5/A
gn.seruvilapahala796b,Seruvila Pahala 796/B
gn.galgamuwapahala991,Galgamuwa Pahala 991
gn.digamullawest449b,Digamulla West 449/B
gn.paranakumburanorth398a,Paranakumbura North 398/A
gn.batakumburanorth,Batakumbura North
gn.ihalapuraeast85,Ihalapura East 85
gn.galnewaihala250,Galnewa Ihala 250
gn.pointpedronorth816a,Point Pedro North 816/A
gn.neluwanorth142b,Neluwa North 142/B
gn.lunugamveheranorth271b,Lunugamvehera North 271/B
gn.kebithigollewanorth491,Kebithigollewa North 491
gn.thalapitiyaeast471a,Thalapitiya East 471/A
gn.sudukaduwa175c,Sudukaduwa 175/C
gn.kothmalenorth,Kothmale North
gn.malimbadaeast4b,Malimbada East 4/B
gn.galmullaeast642b,Galmulla East 642/B
gn.aluthoyaihala268b,Aluthoya Ihala 268/B
gn.padiyathalawacentral,Padiyathalawa Central
gn.welikandaihala763b,Welikanda Ihala 763/B
gn.palledeniya,Palledeniya
gn.samanthurai760b,Samanthurai 760/B
gn.medadeniyanorth840b,Medadeniya North 840/B
gn.yakkalamullacentral122a,Yakkalamulla Central 122/A
gn.mahakaduwaeast152c,Mahakaduwa East 152/C
gn.madurawela99c,Madurawela 99/C
gn.thalakumburacentral417a,Thalakumbura Central 417/A
gn.neluwanorth,Neluwa North
gn.aluthtotawest,Aluthtota West
gn.ginigodawest660c,Ginigoda West 660/C
gn.nawalaoyapahala597b,Nawalaoya Pahala 597/B
gn.udunuwaranorth754b,Udunuwara North 754/B
gn.batugamasouth94a,Batugama South 94/A
gn.galnewacentral873,Galnewa Central 873
gn.lankapurawest462b,Lankapura West 462/B
gn.elpitiyanorth258a,Elpitiya North 258/A
gn.tangallepahala551,Tangalle Pahala 551
gn.padaviyawest694b,Padaviya West 694/B
gn.udahenaeast616a,Udahena East 616/A
gn.medagedaracentral609a,Medagedara Central 609/A
gn.porativuihala263c,Porativu Ihala 263/C
gn.horowpothanaeast749c,Horowpothana East 749/C
gn.dompepahala609a,Dompe Pahala 609/A
gn.thalakandaeast709a,Thalakanda East 709/A
gn.kalumulla,Kalumulla
gn.paranatotaeast165b,Paranatota East 165/B
gn.rukmullacentral,Rukmulla Central
gn.ginihenaeast282b,Ginihena East 282/B
gn.akmeemanasouth297c,Akmeemana South 297/C
gn.kudamullawest,Kudamulla West
gn.paranamullanorth,Paranamulla North
gn.ratupurawest868,Ratupura West 868
gn.galkaduwacentral710,Galkaduwa Central 710
gn.aluthpitiyaihala69c,Aluthpitiya Ihala 69/C
gn.mundelsouth872b,Mundel South 872/B
gn.kalukandanorth393b,Kalukanda North 393/B
gn.kandaketiyacentral453b,Kandaketiya Central 453/B
gn.welikandacentral839,Welikanda Central 839
gn.porativucentral415c,Porativu Central 415/C
gn.palledeniya112,Palledeniya 112
gn.galewelanorth283c,Galewela North 283/C
gn.udaoyawest377,Udaoya West 377
gn.pachchilaipallieast68a,Pachchilaipalli East 68/A
gn.puttalamsouth872b,Puttalam South 872/B
gn.thalagamawest731,Thalagama West 731
gn.ratupitiyawest664,Ratupitiya West 664
gn.digamullawest358c,Digamulla West 358/C
gn.batapitiyanorth95b,Batapitiya North 95/B
gn.kiriella18a,Kiriella 18/A
gn.batuhenaihala749b,Batuhena Ihala 749/B
gn.ratuwattapahala22c,Ratuwatta Pahala 22/C
gn.velanaipahala393c,Velanai Pahala 393/C
gn.paranawelasouth340,Paranawela South 340
gn.ihalatotapahala498,Ihalatota Pahala 498
gn.mihintaleihala656a,Mihintale Ihala 656/A
gn.waligamaihala863,Waligama Ihala 863
gn.walapanepahala765a,Walapane Pahala 765/A
gn.thalagalawest877,Thalagala West 877
gn.ratugamapahala650c,Ratugama Pahala 650/C
gn.galgamuwacentral636,Galgamuwa Central 636
gn.medawachchiya871a,Medawachchiya 871/A
gn.pahalamulla179c,Pahalamulla 179/C
gn.vavuniyanorthpahala643c,Vavuniya North Pahala 643/C
gn.pointpedropahala110c,Point Pedro Pahala 110/C
gn.mahiyanganayaeast106a,Mahiyanganaya East 106/A
gn.thawalamapahala,Thawalama Pahala
gn.ukuwelaeast126b,Ukuwela East 126/B
gn.eheliyagodawest135a,Eheliyagoda West 135/A
gn.kaluhenapahala,Kaluhena Pahala
gn.udapalatha11a,Udapalatha 11/A
gn.ratugamuwa851c,Ratugamuwa 851/C
gn.agalawattaihala32b,Agalawatta Ihala 32/B
gn.thalagalacentral599,Thalagala Central 599
gn.kataragamasouth,Kataragama South
gn.minuwangodaihala155a,Minuwangoda Ihala 155/A
gn.ambalantotapahala781,Ambalantota Pahala 781
gn.aluthtota291a,Aluthtota 291/A
gn.mutur410c,Mutur 410/C
gn.eheliyagodapahala,Eheliyagoda Pahala
gn.monaragala,Monaragala
gn.kalugamawest404b,Kalugama West 404/B
gn.digapitiyanorth,Digapitiya North
gn.udunuwaracentral149c,Udunuwara Central 149/C
gn.medamullaeast199,Medamulla East 199
gn.kaluoya601b,Kaluoya 601/B
gn.galdeniyapahala,Galdeniya Pahala
gn.yatinuwarasouth,Yatinuwara South
gn.batugamapahala402b,Batugama Pahala 402/B
gn.kalupurasouth793a,Kalupura South 793/A
gn.mahaoyasouth919a,Maha Oya South 919/A
gn.rukpitiyaihala,Rukpitiya Ihala
gn.palleoyacentral490a,Palleoya Central 490/A
gn.hikkaduwacentral,Hikkaduwa Central
gn.habaraduwacentral566c,Habaraduwa Central 566/C
gn.thalapitiyasouth668a,Thalapitiya South 668/A
gn.batakumburacentral125a,Batakumbura Central 125/A
gn.katanacentral,Katana Central
gn.kuchchaveliwest49b,Kuchchaveli West 49/B
gn.padaviyanorth,Padaviya North
gn.pahalagamapahala288,Pahalagama Pahala 288
gn.balangodawest,Balangoda West
gn.batukaduwacentral,Batukaduwa Central
gn.kalutotasouth584c,Kalutota South 584/C
gn.pallamanorth701c,Pallama North 701/C
gn.kundasaleihala392a,Kundasale Ihala 392/A
gn.sandilipaypahala,Sandilipay Pahala
gn.lankapuracentral521,Lankapura Central 521
gn.batugamuwacentral775b,Batugamuwa Central 775/B
gn.yatinuwaracentral912a,Yatinuwara Central 912/A
gn.udakaduwasouth325a,Udakaduwa South 325/A
gn.ambalantotaeast285,Ambalantota East 285
gn.mahaoyacentral31b,Maha Oya Central 31/B
gn.wellawayasouth116a,Wellawaya South 116/A
gn.medakandaihala225a,Medakanda Ihala 225/A
gn.ratugedaracentral811c,Ratugedara Central 811/C
gn.hakmanapahala569,Hakmana Pahala 569
gn.ginikaduwacentral814a,Ginikaduwa Central 814/A
gn.hingurawattaihala922c,Hingurawatta Ihala 922/C
gn.kesbewaeast,Kesbewa East
gn.digawela82b,Digawela 82/B
gn.uvaparanagamaihala83,Uva Paranagama Ihala 83
gn.lahugalasouth609a,Lahugala South 609/A
gn.medaoyanorth867c,Medaoya North 867/C
gn.rambukkananorth624a,Rambukkana North 624/A
gn.jaffnawest347b,Jaffna West 347/B
gn.polonnaruwawest446b,Polonnaruwa West 446/B
gn.akuressanorth100,Akuressa North 100
gn.walipura435a,Walipura 435/A
gn.kahatagasdigiliyaeast288b,Kahatagasdigiliya East 288/B
gn.hattonsouth,Hatton South
gn.pahalakandasouth456b,Pahalakanda South 456/B
gn.lahugalaeast560,Lahugala East 560
gn.galigamuwapahala,Galigamuwa Pahala
gn.pahalawattanorth40a,Pahalawatta North 40/A
gn.rukmullawest623c,Rukmulla West 623/C
gn.chilawpahala,Chilaw Pahala
gn.galpuraihala,Galpura Ihala
gn.oddusuddanihala9b,Oddusuddan Ihala 9/B
gn.aluthwattawest59a,Aluthwatta West 59/A
gn.kalupitiyasouth,Kalupitiya South
gn.pallekaduwaeast,Pallekaduwa East
gn.giniwattacentral247c,Giniwatta Central 247/C
gn.kamburupitiyasouth,Kamburupitiya South
gn.pelmadullacentral,Pelmadulla Central
gn.kalugamawest58a,Kalugama West 58/A
gn.ruktotapahala,Ruktota Pahala
gn.hinguragedaraihala,Hinguragedara Ihala
gn.deraniyagala86b,Deraniyagala 86/B
gn.halielasouth263b,Hali-Ela South 263/B
gn.mahiyanganayanorth54,Mahiyanganaya North 54
gn.ihalapitiyapahala924b,Ihalapitiya Pahala 924/B
gn.digagamawest64,Digagama West 64
gn.digawela72,Digawela 72
gn.pointpedroeast,Point Pedro East
gn.tissamaharamacentral,Tissamaharama Central
gn.oddusuddan505,Oddusuddan 505
gn.rajanganaya400a,Rajanganaya 400/A
gn.mahahenawest932b,Mahahena West 932/B
gn.batupitiyaeast,Batupitiya East
gn.lankapurawest661,Lankapura West 661
gn.katuwanaeast769,Katuwana East 769
gn.sudupitiyaeast426c,Sudupitiya East 426/C
gn.ginipuraeast378a,Ginipura East 378/A
gn.ratuhenasouth,Ratuhena South
gn.rukkandawest486c,Rukkanda West 486/C
gn.galigamuwanorth,Galigamuwa North
gn.nawalagala,Nawalagala
gn.soranathotawest,Soranathota West
gn.lunugalasouth128b,Lunugala South 128/B
gn.mahapurapahala79b,Mahapura Pahala 79/B
gn.mahakumbukkadawalasouth36,Mahakumbukkadawala South 36
gn.digagalaihala367c,Digagala Ihala 367/C
gn.kudakumbura132a,Kudakumbura 132/A
gn.pallamacentral719b,Pallama Central 719/B
gn.beruwalaeast767,Beruwala East 767
gn.udagalaihala,Udagala Ihala
gn.harispattuwapahala950,Harispattuwa Pahala 950
gn.mahawewapahala270,Mahawewa Pahala 270
gn.digaoyaihala710a,Digaoya Ihala 710/A
gn.waligalasouth657b,Waligala South 657/B
gn.sudupitiyaeast815,Sudupitiya East 815
gn.kudadeniyaihala75b,Kudadeniya Ihala 75/B
gn.digapitiyaeast918a,Digapitiya East 918/A
gn.giriullasouth596c,Giriulla South 596/C
gn.kaluhenaeast281,Kaluhena East 281
gn.ratuhena,Ratuhena
gn.walihenapahala56a,Walihena Pahala 56/A
gn.lankapuraihala,Lankapura Ihala
gn.sudugalacentral,Sudugala Central
gn.pahalakaduwasouth666b,Pahalakaduwa South 666/B
gn.batugedaraeast650,Batugedara East 650
gn.porativu481a,Porativu 481/A
gn.anuradhapurawest,Anuradhapura West
gn.neluwaihala289c,Neluwa Ihala 289/C
gn.udunuwarawest952c,Udunuwara West 952/C
gn.angunakolapelessasouth318c,Angunakolapelessa South 318/C
gn.hambantotasouth,Hambantota South
gn.kataragamaeast731a,Kataragama East 731/A
gn.nawalawatta,Nawalawatta
gn.udahenaeast,Udahena East
gn.digawattapahala716a,Digawatta Pahala 716/A
gn.welimadapahala,Welimada Pahala
gn.aranayaka238b,Aranayaka 238/B
gn.kahawattacentral366b,Kahawatta Central 366/B
gn.ratutotaihala,Ratutota Ihala
gn.sudugamuwacentral,Sudugamuwa Central
gn.pallekumburawest899a,Pallekumbura West 899/A
gn.aluthdeniyaihala597a,Aluthdeniya Ihala 597/A
gn.biyagamacentral,Biyagama Central
gn.walimullacentral,Walimulla Central
gn.ukuwelacentral269c,Ukuwela Central 269/C
gn.ratugamasouth669,Ratugama South 669
gn.arachchikattuwaihala923a,Arachchikattuwa Ihala 923/A
gn.medagedarasouth,Medagedara South
gn.kalawanaihala282b,Kalawana Ihala 282/B
gn.monaragalanorth,Monaragala North
gn.galwattacentral895c,Galwatta Central 895/C
gn.seethawakacentral122a,Seethawaka Central 122/A
gn.medaoyawest,Medaoya West
gn.okewelaeast437a,Okewela East 437/A
gn.weeraketiyacentral477c,Weeraketiya Central 477/C
gn.nivithigalasouth839b,Nivithigala South 839/B
gn.kudakumburacentral578a,Kudakumbura Central 578/A
gn.bibile,Bibile
gn.horananorth749,Horana North 749
gn.jaffnanorth564b,Jaffna North 564/B
gn.walihenaihala554a,Walihena Ihala 554/A
gn.paranawelaeast707a,Paranawela East 707/A
gn.samanthuraisouth145c,Samanthurai South 145/C
gn.giriullaihala644c,Giriulla Ihala 644/C
gn.medatotapahala326a,Medatota Pahala 326/A
gn.paranakumburaeast367b,Paranakumbura East 367/B
gn.giniwattawest530b,Giniwatta West 530/B
gn.digaoyapahala251,Digaoya Pahala 251
gn.digawela55c,Digawela 55/C
gn.ruwanwellasouth,Ruwanwella South
gn.sandilipaynorth923,Sandilipay North 923
gn.nikaweratiyaeast465,Nikaweratiya East 465
gn.paranawelaihala560,Paranawela Ihala 560
